deficit_bucket,time_bucket,venue,n_games,n_wins,n_observations,trailing_team_win_pct,ci_lower,ci_upper,adequate_sample
2,13,away,723,268,778,0.3706777316735823,0.3362413447956597,0.4064811410939757,True
2,14,away,739,275,782,0.3721244925575101,0.338018781985693,0.4075528176662382,True
2,15,away,746,272,793,0.3646112600536193,0.33084656524948675,0.3997632062009103,True
2,16,away,807,273,851,0.3382899628252788,0.3064809462372612,0.371631276914585,True
2,17,away,765,311,820,0.4065359477124183,0.37227944233210203,0.44172645953376993,True
2,18,away,777,303,816,0.38996138996138996,0.3562876110329799,0.4247179091647144,True
2,19,away,687,259,706,0.37700145560407566,0.341539471804359,0.4138313686314224,True
2,20,away,914,342,972,0.3741794310722101,0.3433949362823022,0.4060171627116854,True
2,21,away,930,346,985,0.3720430107526882,0.341563549336349,0.40357524079679574,True
2,22,away,874,308,919,0.3524027459954233,0.32143965426660476,0.3846576644296155,True
2,23,away,854,312,905,0.36533957845433257,0.33371355783949247,0.398171675984561,True
2,24,away,961,344,1013,0.35796045785639957,0.3282706379525621,0.38878136312201833,True
2,25,away,983,344,1040,0.34994913530010174,0.32076919975015944,0.3802973138625622,True
2,26,away,1015,363,1065,0.35763546798029555,0.3287357712982929,0.3876087517364948,True
2,27,away,984,342,1024,0.3475609756097561,0.31845188129403984,0.3778557048614734,True
2,28,away,1021,368,1062,0.3604309500489716,0.33155385822728495,0.39035438593454447,True
2,29,away,963,360,991,0.37383177570093457,0.34383162169049036,0.40483455072079194,True
2,30,away,1164,420,1235,0.36082474226804123,0.333735055916894,0.38883005907815316,True
2,31,away,1200,429,1258,0.3575,0.33087731691761313,0.3850321515705998,True
2,32,away,1280,477,1354,0.37265625,0.3465856687077437,0.39948892491813653,True
2,33,away,1408,498,1475,0.3536931818181818,0.32914814086844546,0.37903442012139943,True
2,34,away,1420,508,1473,0.35774647887323946,0.3332292308407305,0.3830313419645592,True
2,35,away,1666,593,1734,0.3559423769507803,0.3333061796576636,0.37924140569414455,True
2,36,away,1843,645,1928,0.34997287032013025,0.3285294508021387,0.37204043023151356,True
2,37,away,2290,828,2405,0.3615720524017467,0.34214051543849144,0.3814672524213294,True
2,38,away,2624,929,2753,0.3540396341463415,0.3359671708000978,0.37253885178512963,True
2,39,away,4214,1495,4342,0.35476981490270526,0.3404623350314209,0.369341845381613,True
3,0.0-0.5,away,989,42,1256,0.042467138523761376,0.03156963743168294,0.056905301571678724,True
3,0.5-1.0,away,463,37,493,0.07991360691144708,0.058530961833796066,0.10820996271106025,True
3,1.0-1.5,away,368,47,373,0.12771739130434784,0.09742037729166916,0.16570671768640757,True
3,1.5-2.0,away,364,56,372,0.15384615384615385,0.12041271662449929,0.19450979349942363,True
3,2,away,627,111,677,0.17703349282296652,0.14914920977229526,0.20885127719622423,True
3,3,away,587,143,623,0.24361158432708688,0.21062526462581194,0.27993193378404946,True
3,4,away,613,162,654,0.2642740619902121,0.23091315399403106,0.3005711038770335,True
3,5,away,588,150,619,0.25510204081632654,0.22153536129707618,0.29184794937253544,True
3,6,away,612,166,642,0.27124183006535946,0.2375249192523808,0.3078127130218922,True
3,7,away,619,174,655,0.28109854604200324,0.24711829610775865,0.317779103166792,True
3,8,away,663,201,689,0.3031674208144796,0.26939700464703537,0.339205698003789,True
3,9,away,569,199,593,0.34973637961335674,0.31167812346955726,0.38981003660820246,True
3,10,away,740,217,795,0.29324324324324325,0.2615772769637627,0.32704481677232317,True
3,11,away,755,227,822,0.30066225165562915,0.26902981594073566,0.3343129633692021,True
3,12,away,739,217,795,0.2936400541271989,0.26193855321290055,0.32747593299788796,True
3,13,away,734,218,762,0.2970027247956403,0.26507174590277177,0.3310475295623145,True
3,14,away,729,242,763,0.3319615912208505,0.2987356928654074,0.36694922458469376,True
3,15,away,746,232,792,0.3109919571045576,0.2788133472664754,0.34510722475833616,True
3,16,away,802,241,841,0.300498753117207,0.269780202068739,0.33311942485546053,True
3,17,away,822,255,870,0.3102189781021898,0.2795395769069998,0.34266400305312805,True
3,18,away,783,253,826,0.3231162196679438,0.291290908587829,0.3566687315735453,True
3,19,away,655,218,680,0.332824427480916,0.2978033434749262,0.3697950595403052,True
3,20,away,858,288,920,0.3356643356643357,0.30486090058678483,0.3679328007151714,True
3,21,away,886,284,933,0.32054176072234764,0.2906431078379549,0.351989918084861,True
3,22,away,893,301,944,0.3370660694288914,0.3068182212250064,0.36870976498794356,True
3,23,away,876,287,919,0.3276255707762557,0.29735574407687376,0.35940065389294257,True
3,24,away,864,268,896,0.3101851851851852,0.2802379224379894,0.3418129218635514,True
3,25,away,918,280,962,0.30501089324618735,0.27609060279116543,0.3355563439293991,True
3,26,away,915,307,951,0.3355191256830601,0.3056684422689434,0.366745170697644,True
3,27,away,935,314,975,0.3358288770053476,0.3062826028362833,0.36671867874305875,True
3,28,away,970,307,1014,0.31649484536082473,0.2879974415669597,0.34644002752452285,True
3,29,away,904,303,927,0.33517699115044247,0.30515926631344836,0.3665896379006788,True
3,30,away,1142,377,1205,0.330122591943958,0.3034573393207422,0.3579269218197157,True
3,31,away,1137,352,1190,0.3095866314863676,0.2833921076610093,0.3370635278978623,True
3,32,away,1186,385,1243,0.3246205733558179,0.29857516700628606,0.35179846255919567,True
3,33,away,1288,421,1342,0.3268633540372671,0.30179388240902993,0.35296255212597805,True
3,34,away,1368,457,1428,0.3340643274853801,0.30956521059116976,0.35949279144055174,True
3,35,away,1491,474,1559,0.317907444668008,0.2947643278439803,0.3419864824090927,True
3,36,away,1638,504,1702,0.3076923076923077,0.28581238407515636,0.33047215884299114,True
3,37,away,1637,517,1718,0.3158216249236408,0.29375668317928944,0.3387489773305366,True
3,38,away,1454,442,1503,0.30398899587345257,0.28088758348974624,0.32812343663754323,True
3,39,away,1479,471,1515,0.3184584178498986,0.29521136165091477,0.34264611415769486,True
4,0.0-0.5,away,1014,11,1380,0.010848126232741617,0.006068009089237493,0.019320617196031252,True
4,0.5-1.0,away,525,14,599,0.02666666666666667,0.0159498957010727,0.044260193671624155,True
4,1.0-1.5,away,372,24,386,0.06451612903225806,0.043734252688912276,0.09420045171847637,True
4,1.5-2.0,away,354,28,359,0.07909604519774012,0.05528818879636273,0.11194111042429804,True
4,2,away,642,81,668,0.1261682242990654,0.10268712111140377,0.15409658560553735,True
4,3,away,600,108,648,0.18,0.15132481221976815,0.21274682511028667,True
4,4,away,558,114,596,0.20430107526881722,0.17292218941166587,0.23972365240567195,True
4,5,away,579,120,615,0.20725388601036268,0.17621907441232904,0.24214776831132,True
4,6,away,659,149,685,0.22610015174506828,0.19580283806832213,0.25957232245268325,True
4,7,away,651,145,681,0.2227342549923195,0.19245050320201576,0.2562711418492455,True
4,8,away,637,154,680,0.24175824175824176,0.21012080979180198,0.27649179463337886,True
4,9,away,593,139,615,0.23440134907251264,0.20208136331918466,0.270140412106657,True
4,10,away,706,196,769,0.2776203966005666,0.24585735571017034,0.31179043500820963,True
4,11,away,732,204,792,0.2786885245901639,0.2474278122163346,0.31226003364614446,True
4,12,away,739,192,805,0.2598105548037889,0.22949215292930725,0.29261323266029904,True
4,13,away,714,193,761,0.2703081232492997,0.23902474369906904,0.3040499401866238,True
4,14,away,690,187,721,0.2710144927536232,0.23918441740388766,0.3053802209804354,True
4,15,away,715,201,760,0.2811188811188811,0.24940436477754685,0.31517286614509304,True
4,16,away,751,186,789,0.24766977363515313,0.2181329885843759,0.2797749168622768,True
4,17,away,824,216,869,0.2621359223300971,0.23325994923238824,0.29321951253904244,True
4,18,away,787,229,833,0.2909783989834816,0.26032034412131194,0.3236671446501436,True
4,19,away,645,179,664,0.2775193798449612,0.24435690883734273,0.3133163352949693,True
4,20,away,833,234,887,0.2809123649459784,0.2514498567838233,0.31238635785942576,True
4,21,away,879,265,937,0.3014789533560865,0.2720590463148715,0.33262655073900554,True
4,22,away,888,279,940,0.3141891891891892,0.28451343801239953,0.3454656972959333,True
4,23,away,874,246,910,0.2814645308924485,0.25265572337879744,0.31218604306289316,True
4,24,away,909,261,948,0.2871287128712871,0.2586612877433839,0.3173878318409995,True
4,25,away,968,275,1016,0.2840909090909091,0.2565774313181145,0.31331132421570906,True
4,26,away,918,263,958,0.28649237472766886,0.25818195111057485,0.31658230339909355,True
4,27,away,935,291,977,0.31122994652406416,0.28237552237529423,0.3416292085612131,True
4,28,away,954,279,1009,0.29245283018867924,0.2644650980101304,0.32210537460246025,True
4,29,away,863,242,885,0.28041714947856317,0.25147047724951443,0.3113100815053954,True
4,30,away,1102,338,1179,0.30671506352087113,0.2801992529854836,0.33457378503370466,True
4,31,away,1128,333,1186,0.29521276595744683,0.26932457152004874,0.3224911030407732,True
4,32,away,1238,351,1292,0.2835218093699515,0.25911465001255474,0.30926830639670067,True
4,33,away,1160,318,1209,0.27413793103448275,0.24924425755829926,0.3005226523029739,True
4,34,away,1324,375,1381,0.28323262839879154,0.2596166115202382,0.3081029116518027,True
4,35,away,1354,366,1412,0.27031019202363366,0.24732826617760162,0.29459179283369985,True
4,36,away,1452,378,1518,0.2603305785123967,0.2384127593193648,0.28351325241158176,True
4,37,away,1530,430,1601,0.28104575163398693,0.2590914709961465,0.30409680085669666,True
4,38,away,1424,412,1475,0.2893258426966292,0.2663654191691705,0.3134199015554812,True
4,39,away,430,118,431,0.2744186046511628,0.23437914535381466,0.31845304040246136,True
5,0.0-0.5,away,1027,2,1410,0.0019474196689386564,0.0005342040820723671,0.007072784227285734,True
5,0.5-1.0,away,630,8,744,0.012698412698412698,0.006448146507431671,0.024855573538712348,True
5,1.0-1.5,away,402,14,415,0.03482587064676617,0.02085625552077383,0.057601940977564436,True
5,1.5-2.0,away,328,21,333,0.06402439024390244,0.04225351639675507,0.09588950123575393,True
5,2,away,640,51,685,0.0796875,0.06112713552400267,0.10326360903180112,True
5,3,away,572,71,617,0.12412587412587413,0.09958569495605012,0.15368117565559034,True
5,4,away,596,86,636,0.14429530201342283,0.11836055891202163,0.17478616515646578,True
5,5,away,631,108,667,0.17115689381933438,0.14378005000857322,0.20251357662206973,True
5,6,away,622,102,663,0.1639871382636656,0.13696728811196227,0.19513208016269376,True
5,7,away,634,112,670,0.17665615141955837,0.14894211694041146,0.2082650642782485,True
5,8,away,611,124,646,0.20294599018003273,0.1729565643729728,0.23664747022715832,True
5,9,away,549,99,568,0.18032786885245902,0.15042385971901284,0.21467456992159306,True
5,10,away,717,163,776,0.22733612273361228,0.19815867779579133,0.25941979714239205,True
5,11,away,683,159,742,0.232796486090776,0.2026495511232692,0.26593243342746276,True
5,12,away,751,174,804,0.23169107856191745,0.2029267104225691,0.2631864449732119,True
5,13,away,705,171,746,0.2425531914893617,0.21236312385461725,0.2755337490151465,True
5,14,away,678,149,724,0.21976401179941002,0.19022106795194213,0.25246474059948687,True
5,15,away,721,180,767,0.24965325936199723,0.21944318807239963,0.2825169643250344,True
5,16,away,771,177,804,0.22957198443579765,0.20126990613115206,0.2605555818137389,True
5,17,away,759,174,803,0.22924901185770752,0.20075159004522694,0.26047338772211026,True
5,18,away,778,194,819,0.2493573264781491,0.22023722492101078,0.280940507243663,True
5,19,away,641,161,667,0.25117004680187205,0.21914582216338147,0.28615904650514107,True
5,20,away,865,196,912,0.22658959537572254,0.1999359952465641,0.25566097432763674,True
5,21,away,874,215,930,0.2459954233409611,0.21859492229930835,0.27561906801511743,True
5,22,away,832,211,884,0.2536057692307692,0.2252208497180268,0.2842555869656702,True
5,23,away,885,209,933,0.23615819209039549,0.2093532110145452,0.2652438375484383,True
5,24,away,876,220,925,0.2511415525114155,0.22355170611364172,0.28090455055801355,True
